"행정구역","2024년06월_평균연령"
"전국  (1000000000)","45.1"
"서울특별시  (1100000000)","44.7"
"부산광역시  (2600000000)","46.9"
"대구광역시  (2700000000)","45.7"
"인천광역시  (2800000000)","44.1"
"광주광역시  (2900000000)","43.4"
"대전광역시  (3000000000)","43.7"
"울산광역시  (3100000000)","44"
"세종특별자치시  (3600000000)","38.9"
"경기도  (4100000000)","43.3"
"강원특별자치도  (5100000000)","47.9"
"충청북도  (4300000000)","46.1"
"충청남도  (4400000000)","46.1"
"전북특별자치도  (5200000000)","47.7"
"전라남도  (4600000000)","48.8"
"경상북도  (4700000000)","48.4"
"경상남도  (4800000000)","46.3"
"제주특별자치도  (5000000000)","44.4"
